Date,Open,High,Low,Close,Volume
2020-03-10,202.83,206.42,194.77,200.15,70710.7960133895
2020-03-11,200.51,203.0,182.0,194.81,105387.2041832699
2020-03-12,195.3,195.58,101.52,108.78,770373.3018522493
2020-03-13,108.34,145.1,89.8,135.45,612320.3005139111
2020-03-14,135.13,135.3,120.34,122.28,82316.3293186607
2020-03-15,122.16,133.97,119.86,123.24,144781.8111101087
2020-03-16,123.19,123.76,100.63,110.97,231027.399599109
2020-03-17,111.38,121.45,109.68,116.11,120621.7467437401
2020-03-18,116.11,118.72,110.19,118.61,114191.5436824593
2020-03-19,118.57,143.34,115.84,136.75,185200.5142415916
2020-03-20,136.72,153.49,115.0,133.5,244172.0981283456
2020-03-21,133.51,138.33,125.79,132.64,99699.8995373089
2020-03-22,132.64,137.38,108.1,122.38,153222.4740384023
2020-03-23,122.23,138.25,119.26,136.58,132755.9936482203
2020-03-24,136.53,144.3,133.19,139.22,113257.8162247998
2020-03-25,138.97,143.43,132.68,136.35,73477.4444770199
2020-03-26,136.35,140.04,133.57,139.01,57933.9325662699
2020-03-27,139.1,141.83,129.19,131.59,58091.8267952699
2020-03-28,131.59,133.3,125.0,131.38,62692.4157405902
2020-03-29,131.27,131.99,123.94,124.36,52229.7681961501
2020-03-30,124.35,135.47,124.02,132.28,64030.5289377305
2020-03-31,132.13,135.36,130.35,133.1,39716.41548797
2020-04-01,133.02,137.41,128.85,135.88,58248.0062136196
2020-04-02,136.43,150.7,135.65,141.48,93165.6736869397
2020-04-03,141.42,146.9,137.1,141.32,65305.5177364696
2020-04-04,141.34,146.63,139.09,144.4,34593.6657829801
2020-04-05,144.41,145.96,140.8,142.88,24456.3493263498
2020-04-06,142.9,172.4,142.85,171.64,136778.4110426003
2020-04-07,171.64,176.55,162.15,164.6,125730.2802114806
2020-04-08,164.59,174.62,163.52,173.78,102335.5841524999
2020-04-09,173.78,174.04,165.25,169.92,70517.1019007795
2020-04-10,169.74,170.33,152.46,158.17,113571.9931298318
2020-04-11,158.17,161.53,154.2,158.58,38376.4847858099
2020-04-12,158.59,165.84,155.45,158.72,89898.1308609198
2020-04-13,158.73,159.47,150.0,156.77,91555.9334098301
2020-04-14,156.99,162.26,155.55,158.59,45030.5617335799
2020-04-15,158.51,161.47,151.82,152.62,59656.3553428895
2020-04-16,152.62,175.41,147.0,172.73,176544.1339410042
2020-04-17,172.69,175.0,168.38,170.92,69101.5601300997
2020-04-18,170.91,189.89,170.8,187.65,107235.9887622603
2020-04-19,187.84,188.66,176.0,180.22,86172.8377465109
2020-04-20,180.19,186.76,166.13,170.49,172460.3798045906
2020-04-21,170.4,174.79,168.32,170.99,59116.7223161799
2020-04-22,170.94,184.69,170.09,183.16,86826.7890763101
2020-04-23,183.03,194.38,178.52,185.68,138976.4435884015
2020-04-24,185.64,190.24,184.2,187.72,110636.1740819295
2020-04-25,187.81,198.0,185.81,194.52,86637.3053147906
2020-04-26,194.51,200.0,192.5,197.83,77204.5216784105
2020-04-27,197.85,199.33,187.3,196.84,79847.05457062
2020-04-28,196.72,198.1,192.42,196.71,68848.6272757399
2020-04-29,197.05,219.09,196.75,215.45,143120.4897809903
2020-04-30,215.45,227.53,202.4,206.2,153699.6363242709
2020-05-01,206.16,217.42,206.14,211.88,69786.7306252805
2020-05-02,211.98,215.71,210.54,214.11,41002.8100189401
2020-05-03,214.04,219.32,203.8,209.9,69177.3910948601
2020-05-04,210.08,210.8,195.15,206.99,117103.7870690104
2020-05-05,207.0,212.19,200.82,205.62,53264.4063954204
2020-05-06,205.48,211.31,197.0,199.48,70143.2076737801
2020-05-07,199.3,215.18,196.99,212.34,115539.5261007598
2020-05-08,212.5,217.08,207.21,211.62,52790.3050978802
2020-05-09,211.6,214.72,208.4,210.03,35237.27424765
2020-05-10,209.88,209.95,180.4,188.02,154579.5822780314
2020-05-11,187.84,194.85,176.56,185.89,93149.7193926897
2020-05-12,185.81,192.42,185.73,189.72,35296.0619715301
2020-05-13,189.93,201.41,188.55,200.07,48895.7124470001
2020-05-14,199.93,206.16,195.53,203.43,73138.8649865697
2020-05-15,203.32,204.23,191.3,194.76,51150.16011503
2020-05-16,194.65,203.33,193.21,200.5,46091.7725781002
2020-05-17,200.11,209.92,199.44,206.94,31287.1666836406
2020-05-18,206.94,216.98,206.94,214.91,69837.3858486895
2020-05-19,214.91,215.99,209.31,214.76,45467.9472148601
2020-05-20,214.76,215.45,205.57,209.87,49278.0966393799
2020-05-21,209.92,211.41,191.31,198.35,67325.6102153604
2020-05-22,198.59,209.33,196.21,207.23,50783.1444929597
2020-05-23,207.23,211.5,204.68,206.71,26501.7752537001
2020-05-24,206.63,210.68,199.5,199.53,50512.8874282689
2020-05-25,199.56,205.57,198.03,204.11,22979.4889946202
2020-05-26,204.12,204.9,196.51,200.85,35846.2802582302
2020-05-27,200.95,208.35,200.81,208.28,30731.3452817804
2020-05-28,208.35,220.7,204.66,220.26,64114.1445389197
2020-05-29,220.26,224.7,217.67,220.65,61254.9927960497
2020-05-30,220.64,247.28,218.7,243.7,87820.5248425598
2020-05-31,243.65,245.48,229.5,231.76,69069.6233766602
2020-06-01,231.52,251.29,230.56,248.45,104048.3627874318
2020-06-02,248.46,253.54,218.48,237.55,104117.6490174919
2020-06-03,237.65,245.02,233.47,244.54,60196.1841475599
2020-06-04,244.55,246.66,235.54,243.4,59520.2408327602
2020-06-05,243.21,247.89,239.04,240.03,37567.2030109704
2020-06-06,239.98,244.5,237.67,242.01,24815.0964074203
2020-06-07,241.98,245.93,234.37,244.9,73456.7592442404
2020-06-08,244.88,247.77,241.2,246.62,31951.4165783801
2020-06-09,246.64,249.9,237.78,244.0,43739.9090319707
2020-06-10,244.01,250.49,242.22,247.96,47891.7747123398
2020-06-11,247.96,250.15,225.71,230.11,86324.9186512714
2020-06-12,230.1,239.22,228.01,237.57,36542.8967971201
2020-06-13,237.39,238.64,234.62,237.92,18365.8748636
2020-06-14,238.03,238.69,230.0,231.68,33590.1452791703
2020-06-15,231.53,233.8,218.1,230.97,79329.9467256803
2020-06-16,231.0,236.25,228.78,235.33,37188.8788341903
2020-06-17,235.46,237.38,227.71,233.61,36763.8279820403
2020-06-18,233.54,234.45,227.55,231.38,20495.01382064
2020-06-19,231.02,232.09,226.26,228.62,30752.2642449801
2020-06-20,228.63,230.66,224.6,228.78,20758.06282344
2020-06-21,228.82,231.0,227.1,227.85,15265.99763663
2020-06-22,227.87,246.99,227.27,243.22,75128.99971395
2020-06-23,243.16,245.09,240.85,243.03,41680.9248502699
2020-06-24,243.08,249.28,230.73,234.54,79625.78684876
2020-06-25,234.34,235.12,227.33,232.32,46286.4096243003
2020-06-26,232.3,233.19,226.86,229.36,44305.2228786901
2020-06-27,229.36,230.89,215.9,220.63,60078.3728467999
2020-06-28,220.63,227.57,217.8,224.99,37603.2781209196
2020-06-29,224.8,229.82,221.19,227.8,45110.12092891
2020-06-30,227.88,228.78,222.8,225.68,32825.5711134302
2020-07-01,225.61,233.0,224.16,231.11,39783.9821255901
2020-07-02,231.19,232.07,223.0,226.41,49455.9695965397
2020-07-03,226.47,228.27,224.3,225.01,16877.3516467001
2020-07-04,225.08,230.68,224.52,229.25,19137.70762752
2020-07-05,229.24,229.97,223.57,227.96,23645.48176223
2020-07-06,227.89,242.3,227.0,241.84,80305.0557506012
2020-07-07,241.86,243.7,234.54,239.34,60663.0062483986
2020-07-08,239.46,248.9,237.87,246.97,51855.2790470297
2020-07-09,246.97,247.85,237.81,241.89,53383.0811045399
2020-07-10,241.97,242.02,235.33,241.12,34480.4288052801
2020-07-11,241.13,241.52,237.61,239.24,16896.71096086
2020-07-12,239.27,243.98,236.75,243.0,37891.8822755
2020-07-13,243.0,245.26,237.46,239.42,57063.3652161597
2020-07-14,239.24,241.9,236.89,240.35,25032.0666614202
2020-07-15,240.44,241.28,236.58,238.37,30354.61235752
2020-07-16,238.32,239.11,229.75,233.73,42179.5559415095
2020-07-17,233.45,234.4,231.54,232.79,23925.3460040099
2020-07-18,232.78,237.01,232.29,235.8,18441.91571754
2020-07-19,235.8,240.11,233.41,239.25,19378.7947142
2020-07-20,239.4,239.88,234.3,236.19,28633.4800073101
2020-07-21,236.19,247.0,235.74,246.01,60144.4455465197
2020-07-22,246.01,269.5,242.18,264.53,63942.23991529
2020-07-23,264.61,281.43,260.37,275.59,110821.7056158101
2020-07-24,275.5,287.91,268.57,279.42,85505.2751609703
2020-07-25,279.52,309.94,279.52,305.89,97512.0502771011
2020-07-26,305.81,319.83,300.48,311.52,101719.0445170501
2020-07-27,311.47,334.28,307.7,322.44,183514.6455651463
2020-07-28,322.39,327.23,306.35,317.43,96756.4937432614
2020-07-29,317.56,325.5,313.31,318.18,58272.5963107996
2020-07-30,318.08999,343.0,314.68,335.25,83455.4819959204
2020-07-31,335.41,349.74,328.77,347.0,74699.3857639893
2020-08-01,346.9,394.07,343.9,387.57,116020.6358377397
2020-08-02,387.5,416.39,300.0,372.17,225561.3254102175
2020-08-03,372.26,398.29,367.0,386.21,92340.0208817012
2020-08-04,386.4,403.52,381.1,389.91,90679.7488056217
2020-08-05,390.06,407.89,384.24,401.25,71768.6214211005
2020-08-06,401.26,403.77,391.5,395.17,42415.2036531101
2020-08-07,395.17,399.0,363.22,379.67,86726.1934663813
2020-08-08,379.62,397.4,376.04,397.4,46675.6347659409
2020-08-09,397.39,400.35,381.06,390.33,44562.7283593408
2020-08-10,390.32,400.0,384.97,395.9,53661.0587945102
2020-08-11,395.91,398.38,367.0,378.97,109240.441936662
2020-08-12,378.96,389.47,364.25,387.15,62991.7147947204
2020-08-13,387.17,432.22,376.78,424.87,154408.2203576804
2020-08-14,425.57,445.08,418.1,438.68,92456.0005690685
2020-08-15,438.73,443.54,427.0,432.39,46137.1133722204
2020-08-16,432.52,437.49,412.48,433.67,64252.1042886303
2020-08-17,433.99,447.44,420.51,431.35,70600.2738417603
2020-08-18,431.34,434.2,412.11,422.62,77785.6576978694
2020-08-19,422.61,426.5,393.33,407.57,91227.6439941997
2020-08-20,407.57,419.54,402.48,416.2,58478.10435435
2020-08-21,416.3,419.08,385.0,387.83,85403.4983072904
2020-08-22,387.84,396.9,378.98,395.52,57019.9478924597
2020-08-23,395.5,397.09,383.73,390.64,28002.6934688199
