Date,BTC_Close,ETH_Close,SPX_Close,DJI_Close,Gold_Close,BTC_Close_Return,ETH_Close_Return,SPX_Close_Return,DJI_Close_Return,Gold_Close_Return
2020-01-03,7334.8,134.0,3234.85,28634.88,1.1171437501907349,0.05499701297527375,0.05585987188479573,-0.0070849095780836,-0.008135872010603623,-0.004411210053900604
2020-01-06,7757.3,144.34,3246.28,28703.38,1.1161960363388062,0.05600419081340469,0.07433182769321589,0.003527166358322553,0.0023893307047792647,-0.0008486965705175967
2020-01-07,8160.0,143.2,3237.18,28583.68,1.1197994947433472,0.05060983346973856,-0.007929373117582005,-0.002807144942889736,-0.004178960281796521,0.0032231383954302996
2020-01-08,8043.3,140.7,3253.05,28745.09,1.1154738664627075,-0.014404722234587003,-0.01761229040620191,0.004890437358736847,0.005631044465377425,-0.00387033975832015
2020-01-09,7818.0,137.91,3274.7,28956.9,1.1113210916519165,-0.028410679370665614,-0.020028665634096967,0.006633244037575673,0.00734154753932791,-0.0037298266820401
2020-01-10,8191.9,144.92,3265.35,28823.77,1.1111111640930176,0.04671709382063246,0.049580567540630095,-0.002859307305046252,-0.004608123636585214,-0.0001889169480695333
2020-01-13,8104.0,143.58,3288.13,28907.05,1.111666917800903,-0.010788094245013275,-0.00928949487853934,0.006952059592316183,0.002885116053013542,0.0005000532657696564
2020-01-14,8815.5,166.19,3283.15,28939.67,1.1135733127593994,0.08415376879229544,0.14623934099109484,-0.0015156867317727837,0.0011278082303572275,0.0017134288682368716
2020-01-15,8810.3,166.31,3289.29,29030.22,1.113089919090271,-0.0005900441569593359,0.0007218045426167794,0.0018684086233433153,0.0031240381392619973,-0.0004341866069445138
2020-01-16,8717.8,164.17,3316.81,29297.64,1.1154004335403442,-0.010554579070190705,-0.01295104037562183,0.00833174163220134,0.009169610328897787,0.0020736147906197213
2020-01-17,8901.5,169.59,3329.62,29348.1,1.1139578819274902,0.020852889351252596,0.03248128304888246,0.00385470571772163,0.0017208415292312255,-0.001294140833420409
2020-01-21,8723.3,169.3,3320.79,29196.04,1.109693169593811,-0.02022219516541405,-0.0017114702162194244,-0.002655476937142426,-0.005194724594018907,-0.0038357795030165604
2020-01-22,8659.0,167.66,3321.75,29186.27,1.108561396598816,-0.00739836423170208,-0.009734169929378459,0.00028904605969510904,-0.0003346904256169864,-0.0010204176837492315
2020-01-23,8390.1,162.5,3325.54,29160.09,1.1096439361572266,-0.031546803106447155,-0.03126011743991912,0.0011403144471457103,-0.0008973996580747312,0.0009760499881296328
2020-01-24,8426.8,162.32,3295.47,28989.73,1.1055220365524292,0.004364663910961113,-0.0011083062522329302,-0.009083268789936675,-0.005859364221653549,-0.0037215309488002925
2020-01-27,8891.8,169.88,3243.63,28535.8,1.102535843849182,0.05371240045106507,0.04552260992751105,-0.015855725118383686,-0.015782189992541093,-0.0027048154401574376
2020-01-28,9399.9,176.41,3276.24,28722.85,1.101976990699768,0.05556954720025574,0.03771852586324414,0.010003350352589398,0.006533533898691526,-0.0005070083082547705
2020-01-29,9280.9,173.48,3273.4,28734.45,1.1022562980651855,-0.012740526067292627,-0.01674851234114903,-0.0008672232910484065,0.00040377811549107545,0.00025342813606535716
2020-01-30,9500.0,184.34,3283.66,28859.44,1.1016855239868164,0.02333327375228904,0.0607195595983528,0.0031294538629889324,0.004340397782624949,-0.000517957493631393
2020-01-31,9339.3,179.68,3225.52,28256.03,1.1029127836227417,-0.017060495641180215,-0.02560438757538506,-0.01786447639264373,-0.021130262995670127,0.0011133636077491934
2020-02-03,9281.0,189.78,3248.92,28399.81,1.1089794635772705,-0.006262003352059217,0.0546880155554795,0.007228455862910543,0.00507556886154601,0.005485525052044301
2020-02-04,9159.3,188.35,3297.59,28807.63,1.1062926054000854,-0.013199543061287598,-0.007563572407562463,0.014869265218066252,0.014257827605617135,-0.002425760277789674
2020-02-05,9616.2,203.76,3334.69,29290.85,1.1047282218933103,0.048679419693479574,0.07864089653315151,0.011187822882933643,0.01663489795240626,-0.0014150782738122072
2020-02-06,9754.7,212.92,3345.78,29379.77,1.100231051445007,0.014300043896965377,0.043973677633355024,0.0033201287296620923,0.0030311616983981775,-0.00407914716479985
2020-02-07,9799.6,222.91,3327.71,29102.51,1.0982975959777832,0.004592348374573713,0.045851594248284444,-0.005415470514539197,-0.009481917507066116,-0.0017588635635339997
2020-02-10,9850.1,223.0,3352.09,29276.82,1.0949305295944214,0.005140038899740652,0.000403668907277814,0.0072996521623710205,0.00597165188432292,-0.003070422989157765
2020-02-11,10273.2,237.83,3357.75,29276.34,1.0913456678390503,0.04205695513757598,0.06438436127348714,0.0016870749056512096,-1.6395357654839072e-05,-0.003279425511196765
2020-02-12,10354.6,266.4,3379.45,29551.42,1.091941475868225,0.00789230286534116,0.11344280593262801,0.0064418675537450355,0.009352115563099957,0.000545789907371758
2020-02-13,10241.6,268.64,3373.94,29423.31,1.0875948667526243,-0.010973008014042615,0.008373254662996606,-0.0016317734419649113,-0.004344579500753945,-0.003988568387690097
