Date,Open,High,Low,Close,Volume
2020-01-01,7168.3,7235.0,7150.0,7174.4,1827.63489373
2020-01-02,7174.4,7185.8,6915.0,6942.3,4057.33154562
2020-01-03,6943.4,7397.3,6860.0,7334.8,8120.4914047203
2020-01-04,7333.2,7396.4,7260.0,7350.2,2912.37313055
2020-01-05,7350.2,7493.3,7301.1,7346.9,2904.093494
2020-01-06,7347.2,7800.0,7339.2,7757.3,5994.0749446002
2020-01-07,7760.0,8252.5,7727.1,8160.0,10390.7561997209
2020-01-08,8160.3,8464.3,7875.0,8043.3,12263.4285554005
2020-01-09,8043.3,8043.7,7749.9,7818.0,6127.6393974901
2020-01-10,7818.1,8191.9,7666.3,8191.9,8032.1351248204
2020-01-11,8191.9,8319.5,7999.3,8026.2,4806.77769559
2020-01-12,8023.3,8185.0,7951.2,8177.3,2330.06754714
2020-01-13,8177.3,8188.8,8036.8,8104.0,2714.88825152
2020-01-14,8104.1,8892.0,8104.1,8815.5,15537.3413625608
2020-01-15,8815.5,8900.0,8560.0,8810.3,8031.7769895804
2020-01-16,8808.4,8846.2,8579.4,8717.8,4960.8137228901
2020-01-17,8717.9,9004.0,8657.7,8901.5,8148.7063924703
2020-01-18,8898.5,8975.0,8810.0,8907.7,3915.30406409
2020-01-19,8905.3,9185.0,8470.0,8705.8,8532.3026769005
2020-01-20,8705.8,8731.9,8510.0,8629.4,3779.4923618
2020-01-21,8628.7,8782.2,8333.0,8723.3,4521.5190723301
2020-01-22,8723.3,8795.0,8565.4,8659.0,3097.9125691799
2020-01-23,8658.9,8662.1,8281.0,8390.1,5865.7000315701
2020-01-24,8390.1,8505.5,8215.2,8426.8,4582.86030911
2020-01-25,8426.8,8427.8,8253.3,8325.0,2513.01012983
2020-01-26,8325.1,8601.9,8285.0,8592.7,3516.66680936
2020-01-27,8599.3,8979.0,8565.0,8891.8,6287.2171510802
2020-01-28,8891.8,9420.7,8873.9,9399.9,8030.8407864104
2020-01-29,9395.0,9438.3,9222.6,9280.9,5598.6460524301
2020-01-30,9281.2,9568.1,9060.0,9500.0,8016.2853486402
2020-01-31,9500.5,9520.0,9200.0,9339.3,4869.4627580601
2020-02-01,9337.1,9453.9,9283.5,9377.1,1680.52574219
2020-02-02,9377.0,9473.1,9150.0,9322.2,3269.38968378
2020-02-03,9322.2,9610.0,9225.0,9281.0,4995.3482989101
2020-02-04,9280.8,9348.7,9078.8,9159.3,3809.73133955
2020-02-05,9159.3,9765.0,9150.2,9616.2,6914.0534755403
2020-02-06,9612.8,9853.0,9520.0,9754.7,5888.0383558501
2020-02-07,9754.7,9883.6,9715.0,9799.6,3687.00812773
2020-02-08,9799.6,9942.0,9658.0,9904.3,3479.91913592
2020-02-09,9901.6,10180.0,9887.4,10160.1,4824.2846849101
2020-02-10,10159.1,10200.0,9760.0,9850.1,5740.5375218401
2020-02-11,9850.1,10409.2,9707.0,10273.2,7498.7879198605
2020-02-12,10271.6,10486.9,10218.0,10354.6,6776.9375597403
2020-02-13,10352.6,10516.6,10060.3,10241.6,7307.3106156803
2020-02-14,10241.6,10390.0,10097.4,10370.8,3567.7507352901
2020-02-15,10369.5,10400.0,9766.9,9904.6,3626.9633399001
2020-02-16,9904.5,10046.8,9632.0,9923.9,3239.16987186
2020-02-17,9921.1,9961.5,9476.4,9702.1,4759.2576566201
2020-02-18,9702.2,10281.0,9615.0,10180.0,4946.6300276901
