date,TCI,NET_BTC,NET_ETH,NET_SPX,NET_DJI,NET_GOLD
2021-12-28,58.598318239741985,-0.31311938284545104,-0.40934570560266553,0.07384868846453518,0.07706576706109813,0.5715506329224833
2022-01-11,59.066228400392596,-0.3175927807555788,-0.43555603919765706,0.08537574937951864,0.09353534483645054,0.5742377257372667
2022-01-26,59.93205055620358,-0.3318322181750247,-0.4707743807091624,0.08812471762264928,0.10800757997697719,0.6064743012845606
2022-02-09,58.30583716214907,-0.28801633032565893,-0.3815515723844539,0.027839895757495348,0.03057625693778121,0.6111517500148365
2022-02-24,57.33085661353613,-0.24162028890332288,-0.31026242635047535,-0.045271897760216895,-0.05625519397151668,0.653409806985532
2022-03-10,43.49134369604909,-0.025204869117786244,-0.10923266353651995,-0.034678378386888475,-0.003379503317076815,0.1724954143582715
2022-03-24,40.015525465432276,0.0015677060814464627,-0.017213393446616265,-0.07730479796969314,-0.04772544359951536,0.14067592893437825
2022-04-07,40.081116917206515,-0.00908090590238081,-0.022198354065778414,-0.08118928443533346,-0.04955474461459414,0.16202328901808688
2022-04-22,40.09392438177494,-0.009178884296669576,-0.023965329652445577,-0.08413306330728298,-0.05221271271205391,0.16948998996845194
2022-05-06,41.02597207979053,-0.008722233166291837,-0.016028092581544917,-0.09377407124107495,-0.05968731476221695,0.17821171175112865
2022-05-20,41.70713908957282,-0.008076219896088033,-0.016493142608546174,-0.09599138168849797,-0.056549561326392994,0.17711030551952528
2022-06-06,41.45811705779293,-0.010679465427621382,-0.013665802114047443,-0.09497783840508667,-0.06245360313097709,0.18177670907773258
2022-06-21,43.053108833641005,-0.009589016571368403,-0.011070166266992976,-0.10333953396115625,-0.06562273250992767,0.18962144930944533
2022-07-06,43.09056312363479,-0.0061335374365221185,-0.012187258123609934,-0.10205336832987733,-0.0626175799300136,0.18299174382002303
2022-07-20,43.098301904641545,-0.010204925147916377,-0.013187934281839175,-0.09988601213216508,-0.05988635255029073,0.18316522411221137
2022-08-03,43.435118633260025,-0.00846868576663029,-0.012756136741135793,-0.10689856371401796,-0.06547557788859937,0.1935989641103835
2022-08-17,43.4937811189932,-0.0072695395714025834,-0.012169764203685984,-0.10362695830000679,-0.06589072744690483,0.1889569895220003
2022-08-31,43.84692653129225,-0.005045625749490357,-0.012867870926905944,-0.10984773272222526,-0.07475834935593018,0.20251957875455176
2022-09-15,44.605978333594805,-0.01208850225104141,-0.010957119403507243,-0.12103184684559709,-0.08196450602910765,0.2260419745292534
2022-09-29,44.840533105784765,-0.011870222517033013,-0.00931182879875897,-0.12855767517889183,-0.09024835592633984,0.23998808242102357
2022-10-13,44.936391184772546,-0.013639527225829451,-0.006820324643021458,-0.13126309098870803,-0.09584367180461495,0.2475666146621736
2022-10-27,45.494927509869925,-0.016453784719466236,-0.0068297794274544965,-0.14209158285829504,-0.10808191015218183,0.2734570571573975
2022-11-10,45.88078919808328,-0.019742443495475548,-0.012190939007444113,-0.14100606374452818,-0.10839975526899503,0.28133920151644287
2022-11-25,47.2075581169752,-0.02230932720070994,-0.012538893310498345,-0.1579161167563372,-0.11916644204080173,0.31193077930834706
2022-12-09,47.55553367073152,-0.023483992883759297,-0.013847215526747947,-0.16168301352491965,-0.1216377257670942,0.32065194770252087
2022-12-23,47.70350133856054,-0.02381162172963558,-0.015797019384091116,-0.16138280613963796,-0.12190847297418761,0.3228999202275523
2023-01-10,48.56488667807328,-0.0188874644652941,-0.02053262865952643,-0.1709599001145956,-0.12662860585715985,0.33700859909657604
2023-01-25,48.6803752675095,-0.0221261302568867,-0.021985462133572387,-0.16892186719842583,-0.12113460495363115,0.3341680645425161
2023-02-08,49.039281471044674,-0.027041548021244588,-0.020802756645391884,-0.1705359220281305,-0.12291536280591919,0.34129558950068606
2023-02-23,48.96298370540478,-0.0263457506855872,-0.019514932936004703,-0.1707666222789863,-0.12207348480449809,0.33870079070507625
2023-03-09,49.33887091649055,-0.02645809718981662,-0.02603616985806101,-0.17235113737253294,-0.12686635816458902,0.35171176258499964
2023-03-23,48.996526954676725,-0.02839184284403362,-0.029815235782468363,-0.16382805404336676,-0.11910456693869642,0.34113969960856494
2023-04-06,48.57249404377246,-0.027298236738657056,-0.027029842057160636,-0.1534487100082368,-0.11171772541727065,0.3194945142213251
2023-04-21,48.72098627972954,-0.028935272350143926,-0.02842762105312524,-0.15276855226556318,-0.11200472190239796,0.32213616757123004
2023-05-05,49.18335905729319,-0.032376234195611975,-0.034741113601721496,-0.14480279448889188,-0.1033748770385714,0.31529501932479664
2023-05-19,49.112228158196416,-0.027443601435185205,-0.03858314529707052,-0.1410803278378897,-0.09911567682216971,0.3062227513923151
2023-06-05,49.584667284305986,-0.03433600595827446,-0.04216749054749547,-0.14067004647967174,-0.09810741196440553,0.3152809549498473
2023-06-20,49.7703070243934,-0.03146339155659583,-0.04021523820091355,-0.13901385049272963,-0.09520328466676542,0.3058957649170045
2023-07-05,49.95974300197476,-0.029920648787424287,-0.045549958628593346,-0.1379057827074225,-0.09714611500547032,0.31052250512891016
2023-07-19,50.05692594086651,-0.030019355272715376,-0.047405023475896924,-0.13861615259137383,-0.09554691699339457,0.3115874483333809
2023-08-02,50.42360690032376,-0.03341560020110068,-0.04777577118256171,-0.13733841772292998,-0.09308899898044487,0.31161878808703714
2023-08-16,50.5626865953108,-0.03368302995017036,-0.045814808355429726,-0.13803383396347557,-0.09420898217164841,0.31174065444072413
2023-08-30,50.72440343941273,-0.033316889860483645,-0.0468635265065348,-0.13842632072727856,-0.09352435667041414,0.31213109376471104
