series,mu,omega,alpha,beta,alpha_plus_beta,loglik,ljungbox_p(10)
BTC-USD,0.002553753487078322,0.0001496446164927717,0.1562174898512889,0.788258484406219,0.944475974257508,1768.6059040249086,0.42172833111042984
ETH-USD,0.002982566090040949,7.911605411323491e-05,0.1554468809630242,0.8441837683806982,0.9996306493437224,1536.8630531345175,0.3234815085510514
^GSPC,0.0007596888190588466,4.378772602031453e-06,0.1999891624628876,0.7800148017551013,0.9800039642179889,3089.420072072857,0.3831334748152757
^DJI,0.0005584200700419379,4.094796128193689e-06,0.19999769430201236,0.7800026979101436,0.9800003922121561,3173.4495470656275,0.4526681299126156
