Date,BTC,ETH,SPX,DJI,GOLD
2020-01-03,0.0549970129752737,0.0558598718847957,-0.0070849095780836,-0.0081358720106036,-0.0044112100539006
2020-01-10,0.1105157164985229,0.07834206607596499,0.009384395506699,0.006574838791102801,-0.005414641563517
2020-01-17,0.0830739406713847,0.15720189332843282,0.0194912288338096,0.0180274142807615,0.0025587694842612
2020-01-24,-0.05480269859260199,-0.04381406383774979,-0.0103093852202382,-0.012286178899364,-0.0076016781474363
2020-01-31,0.10281419969513689,0.1016077954725739,-0.0214546205864975,-0.0256347431914037,-0.002362989498229
2020-02-07,0.0481102655516718,0.215590611562708,0.031190202179033198,0.0295175386109013,-0.004193324227891199
2020-02-14,0.05665259636122261,0.24908383834580988,0.0156386659136349,0.010104941336357563,-0.0125513205742336
2020-02-21,-0.06705386359886961,-0.0739358273364696,-0.012626118364592799,-0.013895294496845602,-0.005360852896079299
2020-02-28,-0.10683725160655691,-0.1565696988856036,-0.1220622706642802,-0.1319164615122046,0.019209037164457002
2020-03-06,0.049186205401134504,0.0789276517628475,0.006124957772197605,0.017764587636019208,0.0203975969359444
2020-03-13,-0.4861442895745947,-0.5956714979083211,-0.0920346665551379,-0.10934993880309188,-0.0034733798061462005
2020-03-20,0.0975004997278688,-0.014501090690799998,-0.16227897915289358,-0.1899781073384344,-0.0483181836626196
2020-03-27,0.0269582095501624,-0.014410449678254805,0.0976966850944738,0.1208404928103344,0.036023486519054
2020-04-03,0.0552485134375538,0.0713357943288947,-0.021002259007089803,-0.027373901455524405,-0.018347468237639202
2020-04-10,0.07921361397614689,0.1843009155626294,0.1142366828476499,0.1192712709818112,0.0014980874791292002
2020-04-17,-0.036296051578392594,0.005867872722250183,0.0299225414357175,0.021814864786056,-0.0004778879245127005
2020-04-24,0.0651727295042641,0.0937558801503927,-0.013244113536791799,-0.019460913863921403,-0.0075291961335959
2020-05-01,0.1616007958961523,0.121068585750109,-0.0021279419405159025,-0.0021718378791755998,0.0155092407460694
2020-05-08,0.1058080278656668,-0.001227863200310297,0.0344065977321355,0.0252902823764626,-0.0099436022926684
2020-05-15,-0.052036674115710196,-0.08302418216151561,-0.022819666305003598,-0.0269047403704003,-0.002792073748329099
2020-05-22,-0.015486400695272594,0.0620612562348962,0.031536428519420304,0.032390395714005496,0.013414620715342601
2020-05-29,0.027537504266310502,0.06274844816616,0.0296233509708069,0.0368339275354526,0.0114563761789819
2020-06-05,0.020239417519023497,0.084186179814586,0.0479778589612294,0.0658548196695229,0.02308735697567
2020-06-12,-0.016532767789310898,-0.010301598639711598,-0.04896378980903621,-0.057130077556653,-0.004400739387962
2020-06-19,-0.0168322019434032,-0.0384010802927982,0.0183844697088418,0.010331696308708503,-0.0068520320886141
2020-06-26,-0.016453515485185904,0.0032315849774821933,-0.029048399033723,-0.0336427991253934,0.0009881904719063004
2020-07-03,-0.007051898297986201,-0.012945306610227504,0.0394117851090685,0.0319367636415544,0.0026069249359368
2020-07-10,0.0217731222605185,0.0629472199132988,0.0174286483798293,0.0095541109459695,0.0032456167403804
2020-07-17,-0.014513602052211298,-0.0351579752699694,0.0123843779977439,0.022623945287704804,0.0091853531285425
2020-07-24,0.0429237592650719,0.182579266614125,-0.002825930865964799,-0.0076045907991346,0.0177459415721742
2020-07-31,0.17284580348020048,0.2166087537245181,0.017109138965322502,-0.0015716981182276983,0.0235366057028767
2020-08-07,0.021542926449884897,0.0899776744249281,0.0242099284995209,0.0373280028304248,0.0003561911796414004
2020-08-14,0.0144680207312977,0.14446776352022078,0.0064157218815587,0.017973733866688102,-0.0050584845148538
2020-08-21,-0.021455794665758098,-0.12320311861190449,0.007181704158801001,-2.4704021654900488e-05,0.004821071291909901
2020-08-28,0.0008588047527879027,0.019735383121686306,0.032109136681062,0.025575317432793402,-0.0045610280796958
2020-09-04,-0.0972752398744983,-0.024931542942047007,-0.023375354324999098,-0.0183342290229247,0.0017035361227658997
2020-09-11,-0.0062698534397942025,-0.0314360491453608,-0.0254123868212083,-0.0167630735433533,-0.0013015000015603006
2020-09-18,0.0503085046654284,0.027878851163807204,-0.0064560523562141,-0.0002971636081046773,0.0020120860827766004
2020-09-25,-0.0221555262558552,-0.08846669715065021,-0.006349438747599703,-0.017634884592355002,-0.0148767008927747
2020-10-02,-0.011311880430337526,-0.0178335527038616,0.015032899904966299,0.0185524811322141,0.0061237373023054
2020-10-09,0.044879266889383596,0.0560263479563173,0.0377215240230864,0.0321369279965307,0.0018762630513440128
2020-10-16,0.0238273486033105,-0.0005745632793257016,0.001916405674903301,0.0006787519268528002,-0.005100883343455928
2020-10-23,0.13306557861717488,0.11499674240770019,-0.005301342065264899,-0.0095094169783693,0.0091735732901798
2020-10-30,0.047394367169355495,-0.06837099229437471,-0.0580474280022383,-0.06691279735495889,-0.0116056941278096
2020-11-06,0.13957925738606827,0.1758443212278829,0.07067872817126371,0.066483209588462,0.011818361024960845
2020-11-13,0.046604515232695896,0.0442069214995693,0.021343833590750497,0.040017304136387,-0.0011975974993990992
2020-11-20,0.1336399932595605,0.06751327716840459,-0.007731019410779499,-0.007365300035069001,0.0053303639094082
2020-11-27,-0.08580421538932578,0.016362906132436877,0.022460987405666204,0.0218649207922028,0.004164378220069
2020-12-04,0.0850330484256007,0.09023317960633839,0.0165646713490929,0.0102411344138489,0.0190893073605291
2020-12-11,-0.034572743987489996,-0.042361306011821906,-0.0096868974867032,-0.0057045224082750996,-0.00011170068625059992
2020-12-18,0.24903186452711001,0.1847409658462276,0.012464778285458798,0.004406120028814299,0.0097040511856754
